CLID	Name	Log2 Ratio (TBCC vs NBE)	Log2 Ratio (TBCC vs NBE)	Log2 Ratio (TBCC vs NBE)	Log2 Ratio (TBCC vs NBE)	Log2 Ratio (TBCC vs NBE)	dumy	dumy	dumy	dumy	dumy
IGS=Log2 Ratio (TBCC vs NBE)	NaN	Pcorr_IGS_Correlation_NJEM.2007_PMID.17229949	Pcorr_IGS_Correlation_NJEM.2007_PMID.17229949	Pcorr_IGS_Correlation_NJEM.2007_PMID.17229949	Pcorr_IGS_Correlation_NJEM.2007_PMID.17229949	Pcorr_IGS_Correlation_NJEM.2007_PMID.17229949	dumy	dumy	dumy	dumy	dumy
202	202	-1.3	-1.3	-1.3	-1.3	-1.3	1.1	1.1	1.1	1.1	1.1
334	334	-1.1	-1.1	-1.1	-1.1	-1.1	1	1	1	1	1
471	471	1	1	1	1	1	-1.6	-1.6	-1.6	-1.6	-1.6
596	596	-2.1	-2.1	-2.1	-2.1	-2.1	1.1	1.1	1.1	1.1	1.1
966	966	-1.3	-1.3	-1.3	-1.3	-1.3	1	1	1	1	1
1052	1052	-1.8	-1.8	-1.8	-1.8	-1.8	1.1	1.1	1.1	1.1	1.1
1153	1153	-2	-2	-2	-2	-2	2.1	2.1	2.1	2.1	2.1
1213	1213	1.1	1.1	1.1	1.1	1.1	1.3	1.3	1.3	1.3	1.3
1432	1432	2	2	2	2	2	1	1	1	1	1
1457	1457	1.3	1.3	1.3	1.3	1.3	-2	-2	-2	-2	-2
1477	1477	1.6	1.6	1.6	1.6	1.6	-1.9	-1.9	-1.9	-1.9	-1.9
1788	1788	1.1	1.1	1.1	1.1	1.1	-1	-1	-1	-1	-1
2012	2012	-1.9	-1.9	-1.9	-1.9	-1.9	1.2	1.2	1.2	1.2	1.2
2066	2066	-1.8	-1.8	-1.8	-1.8	-1.8	1.1	1.1	1.1	1.1	1.1
2081	2081	-1.5	-1.5	-1.5	-1.5	-1.5	-3.4	-3.4	-3.4	-3.4	-3.4
2113	2113	-1.7	-1.7	-1.7	-1.7	-1.7	2.2	2.2	2.2	2.2	2.2
2317	2317	-1.5	-1.5	-1.5	-1.5	-1.5	1.6	1.6	1.6	1.6	1.6
2597	2597	1.1	1.1	1.1	1.1	1.1	-2.7	-2.7	-2.7	-2.7	-2.7
3176	3176	-1.5	-1.5	-1.5	-1.5	-1.5	-1.2	-1.2	-1.2	-1.2	-1.2
3337	3337	-1.6	-1.6	-1.6	-1.6	-1.6	2	2	2	2	2
3939	3939	1	1	1	1	1	1.7	1.7	1.7	1.7	1.7
4057	4057	-3.4	-3.4	-3.4	-3.4	-3.4	1.1	1.1	1.1	1.1	1.1
4137	4137	-2.1	-2.1	-2.1	-2.1	-2.1	2	2	2	2	2
4256	4256	-2.7	-2.7	-2.7	-2.7	-2.7	1.3	1.3	1.3	1.3	1.3
4287	4287	1.5	1.5	1.5	1.5	1.5	-4	-4	-4	-4	-4
4291	4291	-1.4	-1.4	-1.4	-1.4	-1.4	1.3	1.3	1.3	1.3	1.3
4316	4316	-1.9	-1.9	-1.9	-1.9	-1.9	1	1	1	1	1
4850	4850	1.3	1.3	1.3	1.3	1.3	-2.1	-2.1	-2.1	-2.1	-2.1
5037	5037	-1.4	-1.4	-1.4	-1.4	-1.4	1.9	1.9	1.9	1.9	1.9
5062	5062	1.3	1.3	1.3	1.3	1.3	-1.3	-1.3	-1.3	-1.3	-1.3
5151	5151	2	2	2	2	2	-2.1	-2.1	-2.1	-2.1	-2.1
5230	5230	1.1	1.1	1.1	1.1	1.1	-1.8	-1.8	-1.8	-1.8	-1.8
5355	5355	2.1	2.1	2.1	2.1	2.1	1.4	1.4	1.4	1.4	1.4
5686	5686	1	1	1	1	1	-1.9	-1.9	-1.9	-1.9	-1.9
5887	5887	1.3	1.3	1.3	1.3	1.3	1.4	1.4	1.4	1.4	1.4
5977	5977	2.2	2.2	2.2	2.2	2.2	-1.4	-1.4	-1.4	-1.4	-1.4
6421	6421	-2.5	-2.5	-2.5	-2.5	-2.5	2.5	2.5	2.5	2.5	2.5
6451	6451	-2	-2	-2	-2	-2	-1.4	-1.4	-1.4	-1.4	-1.4
6638	6638	-1	-1	-1	-1	-1	-1.5	-1.5	-1.5	-1.5	-1.5
6729	6729	1	1	1	1	1	1.5	1.5	1.5	1.5	1.5
6745	6745	1	1	1	1	1	-1	-1	-1	-1	-1
7071	7071	-1.2	-1.2	-1.2	-1.2	-1.2	2	2	2	2	2
7163	7163	-1.1	-1.1	-1.1	-1.1	-1.1	-1.5	-1.5	-1.5	-1.5	-1.5
7430	7430	-1	-1	-1	-1	-1	2.2	2.2	2.2	2.2	2.2
7465	7465	-1.8	-1.8	-1.8	-1.8	-1.8	-1	-1	-1	-1	-1
8027	8027	1.3	1.3	1.3	1.3	1.3	-1	-1	-1	-1	-1
8470	8470	-1.4	-1.4	-1.4	-1.4	-1.4	1	1	1	1	1
8540	8540	1.9	1.9	1.9	1.9	1.9	-2.5	-2.5	-2.5	-2.5	-2.5
8614	8614	-4	-4	-4	-4	-4	-1.2	-1.2	-1.2	-1.2	-1.2
8846	8846	1	1	1	1	1	1.3	1.3	1.3	1.3	1.3
8872	8872	1.1	1.1	1.1	1.1	1.1	-1.1	-1.1	-1.1	-1.1	-1.1
9025	9025	1.1	1.1	1.1	1.1	1.1	-1.1	-1.1	-1.1	-1.1	-1.1
9213	9213	1.2	1.2	1.2	1.2	1.2	1.3	1.3	1.3	1.3	1.3
9276	9276	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1
9330	9330	1	1	1	1	1	-2.5	-2.5	-2.5	-2.5	-2.5
9373	9373	1.1	1.1	1.1	1.1	1.1	-2.6	-2.6	-2.6	-2.6	-2.6
9470	9470	1.3	1.3	1.3	1.3	1.3	-1.3	-1.3	-1.3	-1.3	-1.3
9567	9567	-1.1	-1.1	-1.1	-1.1	-1.1	1.3	1.3	1.3	1.3	1.3
9581	9581	2.6	2.6	2.6	2.6	2.6	1.3	1.3	1.3	1.3	1.3
9653	9653	2	2	2	2	2	2.6	2.6	2.6	2.6	2.6
9857	9857	1.5	1.5	1.5	1.5	1.5	1.1	1.1	1.1	1.1	1.1
10007	10007	1.8	1.8	1.8	1.8	1.8	-1.3	-1.3	-1.3	-1.3	-1.3
10092	10092	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3
10238	10238	1.4	1.4	1.4	1.4	1.4	2	2	2	2	2
10279	10279	-1.2	-1.2	-1.2	-1.2	-1.2	-1.8	-1.8	-1.8	-1.8	-1.8
