CLID	Name	4180	4175	4173	4142	3481	SCP 6	SCP 21	SCP 26	Parental	SCP 25	SCP 46	SCP 2	1833
"(Pcorr_Breast2Lung_LM2=LM2 like, Pcorr_Breast2Lung_Parental=Parental like)"	NaN	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480
2012	Epithelial membrane protein 1	1.604	1.43	1.526	1.54	1.562	-0.057	0.131	-0.091	-0.086	-0.476	0	-0.525	-0.009
466	Activating transcription factor 1	0.584	0.664	0.415	0.551	0.203	-0.049	-0.734	-0.449	-0.995	-0.347	0.36	-0.232	0
387509	G protein-coupled receptor 153	1.071	1.691	1.643	0.888	1.36	-1.934	-2.172	0.04	-0.296	-3.323	-0.111	-1.198	0
1440	Colony stimulating factor 3 (granulocyte)	5.022	5.083	3.107	3.123	3.261	-0.404	-1.006	-0.34	-1.172	0	-1.07	2.858	-0.969
218	"Aldehyde dehydrogenase 3 family, memberA1"	1.932	2.066	3.012	0.503	1.945	-1.922	-0.698	0	-0.301	-1.863	-0.74	-2.01	0.286
7805	Lysosomal associated multispanning membrane protein 5	1.991	2.075	2.085	1.963	2.133	-1.709	-0.81	-0.378	0	0.634	-0.928	-0.194	-0.21
2069	Epiregulin	2.747	2.67	2.117	2.142	2.069	-1.317	-0.369	-0.476	-0.575	-0.14	0	-1.898	0.695
4155	Myelin basic protein	-0.364	-0.854	-0.489	-0.686	-0.335	0.942	1.312	1.058	1.526	-1.222	0.464	0	0.766
4313	"Matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)"	1.705	1.086	0.844	-0.072	1.311	0.071	-2.811	0	-0.652	-0.728	-0.476	-1.046	0.023
169611	Olfactomedin-like 2A	-0.228	0.666	0	0.02	-0.54	1.736	1.844	0.903	1.891	-0.904	-0.433	-1.452	-0.946
8573	Calcium/calmodulin-dependent serine protein kinase (MAGUK family)	-1.491	-0.63	-0.395	-0.951	-0.495	0.621	0.887	1.34	1.8	0	0.522	0.857	-0.344
6678	"Secreted protein, acidic, cysteine-rich (osteonectin)"	6.069	6.346	6.056	6.154	0.245	-2.607	-2.178	0	-2.449	-0.209	-0.602	0.23	-2.915
3669	Interferon stimulated exonuclease gene 20kDa	1.786	1.234	2.315	-0.426	1.742	-0.32	-1.219	0	-0.486	1.353	-0.032	0.018	-0.284
