CLID	CLID	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
CLID	CLID	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043
12	SERPINA3|12	0.634045868	0.634045868	0.634045868	0.634045868	0.634045868	0.634045868	0.634045868	0.634045868	1.499337674	1.499337674	1.499337674	1.499337674
113	ADCY7|113	0.347428619	0.347428619	0.347428619	0.347428619	0.152212433	0.152212433	0.152212433	0.152212433	0.347428619	0.347428619	0.347428619	0.347428619
135	ADORA2A|135	-0.008425536	-0.008425536	-0.008425536	-0.008425536	-0.290759811	-0.290759811	-0.290759811	-0.290759811	-0.290759811	-0.290759811	-0.290759811	-0.290759811
153	ADRB1|153	-1.702506372	-1.702506372	-1.702506372	-1.702506372	-1.702506372	-1.702506372	-1.702506372	-1.702506372	-1.127713636	-1.127713636	-1.127713636	-1.127713636
199	AIF1|199	0.564300223	0.564300223	0.564300223	0.564300223	0.207843845	0.207843845	0.207843845	0.207843845	0.207843845	0.207843845	0.207843845	0.207843845
203	AK1|203	0.512535251	0.512535251	0.512535251	0.512535251	0.694477973	0.694477973	0.694477973	0.694477973	0.512535251	0.512535251	0.512535251	0.512535251
215	ABCD1|215	0.870783277	0.870783277	0.870783277	0.870783277	0.870783277	0.870783277	0.870783277	0.870783277	0.522364279	0.522364279	0.522364279	0.522364279
218	ALDH3A1|218	-1.305940782	-1.305940782	-1.305940782	-1.305940782	-0.868757164	-0.868757164	-0.868757164	-0.868757164	-1.305940782	-1.305940782	-1.305940782	-1.305940782
222	ALDH3B2|222	-0.731338104	-0.731338104	-0.731338104	-0.731338104	0.043050165	0.043050165	0.043050165	0.043050165	-0.731338104	-0.731338104	-0.731338104	-0.731338104
225	ABCD2|225	-0.795900766	-0.795900766	-0.795900766	-0.795900766	-1.285576975	-1.285576975	-1.285576975	-1.285576975	-1.285576975	-1.285576975	-1.285576975	-1.285576975
239	ALOX12|239	-1.671018329	-1.671018329	-1.671018329	-1.671018329	-1.395119349	-1.395119349	-1.395119349	-1.395119349	-1.671018329	-1.671018329	-1.671018329	-1.671018329
240	ALOX5|240	0.273938633	0.273938633	0.273938633	0.273938633	-0.088815255	-0.088815255	-0.088815255	-0.088815255	-0.088815255	-0.088815255	-0.088815255	-0.088815255
242	ALOX12B|242	-1.808690095	-1.808690095	-1.808690095	-1.808690095	-1.203889307	-1.203889307	-1.203889307	-1.203889307	-1.808690095	-1.808690095	-1.808690095	-1.808690095
272	AMPD3|272	-0.173917535	-0.173917535	-0.173917535	-0.173917535	-0.395932768	-0.395932768	-0.395932768	-0.395932768	-0.173917535	-0.173917535	-0.173917535	-0.173917535
284	ANGPT1|284	-0.43901108	-0.43901108	-0.43901108	-0.43901108	-0.43901108	-0.43901108	-0.43901108	-0.43901108	0.397176141	0.397176141	0.397176141	0.397176141
311	ANXA11|311	1.151804163	1.151804163	1.151804163	1.151804163	1.151804163	1.151804163	1.151804163	1.151804163	0.968222892	0.968222892	0.968222892	0.968222892
313	AOAH|313	0.215441303	0.215441303	0.215441303	0.215441303	-0.315812906	-0.315812906	-0.315812906	-0.315812906	-0.315812906	-0.315812906	-0.315812906	-0.315812906
330	BIRC3|330	0.447142733	0.447142733	0.447142733	0.447142733	-0.014717611	-0.014717611	-0.014717611	-0.014717611	-0.014717611	-0.014717611	-0.014717611	-0.014717611
355	FAS|355	-0.059487079	-0.059487079	-0.059487079	-0.059487079	-0.290154012	-0.290154012	-0.290154012	-0.290154012	-0.059487079	-0.059487079	-0.059487079	-0.059487079
356	FASLG|356	-0.476010363	-0.476010363	-0.476010363	-0.476010363	-1.075417146	-1.075417146	-1.075417146	-1.075417146	-1.075417146	-1.075417146	-1.075417146	-1.075417146
382	ARF6|382	1.138464109	1.138464109	1.138464109	1.138464109	1.138464109	1.138464109	1.138464109	1.138464109	1.009408131	1.009408131	1.009408131	1.009408131
395	ARHGAP6|395	-0.756704673	-0.756704673	-0.756704673	-0.756704673	-0.756704673	-0.756704673	-0.756704673	-0.756704673	-0.243075559	-0.243075559	-0.243075559	-0.243075559
397	ARHGDIB|397	1.010602544	1.010602544	1.010602544	1.010602544	0.739757753	0.739757753	0.739757753	0.739757753	1.010602544	1.010602544	1.010602544	1.010602544
399	RHOH|399	0.044947214	0.044947214	0.044947214	0.044947214	-0.583105488	-0.583105488	-0.583105488	-0.583105488	-0.583105488	-0.583105488	-0.583105488	-0.583105488
