CLID	Symbol	p003	p016	p018	p025	p026	p029	p034	p035	p036	p041	p042	p044	p052	p058	p062	p063	p068	p072	p076	p080	p090	p093	p098	p100	p104	p105	p115	p118	p133	p138	p139	p143	p145	p146	p151	p155	p156	p160	p165	p173	p174	p177	p180	p185	p189	p198	p206	p208	p212	p214	p215	p217	p221	p228	p230	p232	p236	p238	p241	p001	p012	p019	p020	p028	p030	p032	p037	p039	p046	p048	p051	p053	p055	p056	p059	p064	p079	p084	p085	p087	p088	p091	p096	p097	p103	p123	p126	p129	p130	p140	p142	p157	p158	p159	p161	p162	p175	p181	p183	p184	p192	p196	p197	p202	p204	p211	p227	p231	p233	p002	p010	p027	p031	p045	p054	p069	p074	p099	p107	p120	p137	p152	p186	p210	p216	p222
TNBC6	TNBC6	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_IM_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_M_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_MSL_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_MSL_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_MSL_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_MSL_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_MSL_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_MSL_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_MSL_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_MSL_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_MSL_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_MSL_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_MSL_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_MSL_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_MSL_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_MSL_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_MSL_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_MSL_CCR.2024_PMID.39308141	Scorr_27Gene_DetermaIO_MSL_CCR.2024_PMID.39308141
25816	TNFAIP8	-0.298	0.407	0.622	-0.548	0.579	0.23	1.264	0.467	0.64	0.685	1.194	0.546	0.327	0.583	0.206	0.002	0.961	0.63	0.484	0.925	0.356	-0.107	0.896	0.698	0.016	0.3	0.559	0.317	-0.107	0.982	0.589	-0.085	1.125	0.104	0.395	0.248	-0.578	-0.409	0.778	1.058	-0.091	-0.232	-0.387	0.662	0.011	0.371	0.635	-0.914	-0.423	0.031	0.974	0.964	0.69	0.761	0.35	0.484	0.28	0.304	-0.566	-0.054	-0.017	-0.212	-0.771	-0.014	-1.071	-0.279	-0.09	-0.567	-0.163	-0.424	-0.707	-0.056	-0.996	-0.085	-0.223	0.064	0.782	-0.747	-0.145	-0.494	0.183	-0.351	-0.767	0.028	-0.761	-0.379	-0.179	0.337	-0.337	-0.565	-0.125	-0.257	-0.258	-0.42	0.18	-0.407	-0.541	0.223	-0.041	-0.757	-0.176	-0.412	-0.594	-0.477	0.455	-0.239	-0.026	-0.354	-0.806	-0.537	-0.295	0.44	0.23	0.277	-0.103	-0.078	0.156	0.422	0.445	0.14	0.243	-0.212	-0.321	0.019	0.149	-0.222
9452	ITM2A	-0.432	0.255	0.168	-0.332	1.117	0.147	0.433	0.126	0.239	0.473	0.805	-0.348	0.015	0.724	-0.508	-0.072	2.251	0.711	0.963	0.257	0.303	0.719	0.463	0.525	0.625	0.848	0.69	0.447	-0.457	1.077	0.956	0.514	0.492	-0.118	0.211	-0.24	-0.201	0.335	0.75	0.587	0.207	-0.084	0.179	0.768	-0.654	1.22	0.252	-0.752	-0.412	0.446	0.367	1.211	0.201	1.797	0.719	0.149	0.068	1.001	-0.442	-0.943	0.262	-0.428	-0.054	0.34	-0.483	-0.36	0.589	-0.437	-0.39	2.88	-0.586	-0.791	0.56	0.902	-0.049	-0.254	0.517	-0.652	-0.527	1.523	-1.225	-0.204	-0.31	-0.001	-0.633	0.342	0.081	-0.84	0.445	-0.008	-0.662	-0.172	-0.922	-0.874	-0.675	-0.625	0.442	0.127	0.633	0.582	-0.542	-0.179	1.427	-0.192	-0.663	-0.9	-0.731	-1.187	-0.361	1.05	-0.213	1.096	0.674	0.925	-0.668	-0.064	0.309	-0.281	0.875	0.662	-0.099	0.01	1.401	1.513	0.383	0.139
8564	KMO	-0.566	0.191	0.171	-1.279	0.211	-0.26	-0.176	0.194	0.855	-0.511	-0.545	-0.348	-0.048	-0.434	-0.414	0.628	-0.548	-0.338	-0.321	0.549	0.148	-0.433	1.445	-0.283	0.038	-0.175	-0.225	-0.012	0.064	1.014	-0.018	-0.026	0.088	1.005	-0.388	-0.134	-1.173	-0.049	0.1	1.336	-0.373	-0.432	-0.427	-0.561	0.37	-0.023	0.017	-1.119	-0.48	0.091	0.691	0.665	0.719	-0.736	0.106	0.27	-0.396	-0.741	-0.81	-0.056	-0.426	-0.783	2.349	0.366	0.151	-0.825	-0.691	-0.941	-0.24	-1.047	-0.519	0.396	-1.08	-0.215	-0.862	-0.666	0.733	-0.745	0.029	-0.273	-0.297	-0.256	-0.69	-0.027	-0.867	-0.918	-0.792	0.047	0.626	-0.823	0.122	-0.608	-0.526	0.295	-0.487	-1.246	0.402	-0.594	-0.258	-1.034	-0.138	-0.728	-1.42	-0.135	0.407	0.732	0.012	-0.107	-0.977	-1.58	-0.535	-1.074	-0.665	1.589	-0.53	-0.975	-1.084	-0.834	-0.629	-1.236	-0.428	-0.584	-0.597	-1.681	-0.274	-0.96
1847	DUSP5	0.282	-0.23	-0.516	0.545	-0.497	-0.601	0.223	-0.951	-0.917	-0.357	-0.265	-0.781	-0.273	0.985	0.133	-1.06	-0.374	-0.204	1.012	-0.114	0.092	0.169	0.105	0.206	-0.198	-0.618	0.231	-0.912	-0.36	-0.362	0.811	-0.946	-0.453	-0.503	0.458	-0.218	0.271	0.55	-0.303	0.217	-1.188	0.3	-1.007	0.39	0.102	-0.789	-0.387	0.168	-0.469	0.357	-0.341	-0.452	-0.385	-0.64	-0.18	-0.226	0.357	0.029	0.14	0.029	-0.117	-0.335	-0.06	-0.037	-0.853	0.217	-0.558	0.344	0.818	0.388	-0.275	-0.308	-0.314	-0.032	-0.516	-0.257	-0.296	-0.397	-0.242	-0.882	0.089	0.002	1.073	-0.114	0.618	-0.456	-0.724	-0.199	-0.383	-0.194	1.343	-0.54	0.873	-0.346	-0.672	-0.013	-0.594	-0.095	0.501	-0.545	0.305	-0.004	1.292	-0.522	0.118	0.123	0.397	1.309	-0.257	-0.227	0.588	-0.588	0.058	-0.313	0.317	0.711	-0.408	-0.393	-0.767	-0.211	1.033	0.339	-1.002	-0.591	0.233	-0.163
5920	PLAAT4	0.039	0.301	-0.578	0.733	0.663	0.355	-0.591	-0.152	-0.997	-1.464	0.019	-0.052	-0.609	0.398	-0.135	0.332	0.859	-0.228	-0.115	-0.041	0.6	0.634	-0.013	1.209	0.005	-0.336	0.141	0.013	0.136	-0.446	0.531	-0.428	-0.611	0.134	-0.083	-0.587	0.787	0.026	0.525	-0.162	0.351	-0.216	0.305	0.181	-0.709	0.286	-0.266	0.147	0.008	0.584	-0.275	0.152	0.423	-0.623	0.759	0.255	-0.035	1.089	0.063	-0.813	-0.501	-0.272	-0.276	-1.137	-0.569	-1.638	-1.257	-0.208	-0.426	-0.631	-1.037	-0.153	0.067	-0.42	-0.559	-1.335	-1.759	0.382	-1.207	-1.324	-1.532	-1.099	0.236	-0.712	-0.125	-0.286	-0.51	-1.783	-0.208	-1.651	-0.78	-0.928	-1.138	-1.264	-0.964	-0.341	-0.813	-0.663	-0.579	-1.424	-1.163	-0.626	-0.053	-1.087	-0.105	0.236	-1.318	-1.39	-0.027	-0.009	-0.33	0.331	0.247	0.323	-0.742	-0.13	-1.023	0.12	0.11	0.724	-0.946	-0.285	-0.223	-0.324	0.27	-0.507
54829	ASPN	-0.961	-0.545	-1.021	-2.209	-0.365	0.461	-1.495	-1.159	1.842	-0.29	-2.012	-0.503	-0.548	-1.409	-0.025	-0.99	-0.654	-1.303	1.268	-2.042	-1.291	-2.213	0.152	0.318	-1.112	-1.512	-0.62	1.084	-1.258	-0.805	-1.191	0.68	0.574	0.691	-1.21	-0.626	-0.468	-1.606	-0.726	-1.036	0.127	-1.461	-0.926	-0.702	-1.147	-0.729	-0.328	-1.592	-1.207	-0.471	-1.298	-1.058	-1.723	-0.99	-1.515	0.637	-1.548	-0.402	-2.469	2.996	2.712	0.672	0.302	3.702	2.005	1.709	-0.563	-1.544	-0.619	0.2	2.248	1.388	-1.613	-0.169	0.464	1.706	1.687	0.346	0.511	1.476	1.721	0.013	-1.371	-0.344	-1.1	1.99	1.972	0.497	1.336	2.269	0.819	0.297	0.104	0.527	0.951	0.795	-0.48	0.241	-0.664	3.07	0.217	-0.165	-1.567	1.443	1.118	1.549	-0.875	1.103	-0.54	-1.301	0.055	-0.602	-0.754	0.857	-0.753	-1.561	1.493	2.849	1.553	-2.39	-0.869	-1.533	0.814	-0.249	0.855	0.036
51561	IL23A	0.351	-0.176	-0.072	-0.352	-0.868	-0.56	-0.141	-0.321	-0.569	-0.824	-0.483	-0.443	-0.172	0.105	-0.865	-0.693	-0.521	-0.656	-0.296	-0.596	-0.368	-0.494	0.055	-0.528	-0.572	-1.002	-0.192	-0.6	-0.575	-0.107	-0.459	-0.686	-0.287	-0.254	0.41	-0.171	-0.271	-0.363	-0.396	0.445	-0.515	0.756	-0.884	-0.087	-0.382	-0.714	-0.581	-0.058	-0.252	-0.476	-0.267	-0.174	-0.363	-0.717	-0.472	0.056	0.18	-0.739	-0.205	0.317	0.178	0.107	0.508	0.364	-0.434	0.625	0.562	0.592	0.589	0.59	0.114	0.15	0.978	-0.235	-0.326	0.293	0.757	-0.42	-0.205	-0.453	0.036	0.535	0.494	-0.127	0.668	-0.246	0.355	0.428	-0.224	0.258	1.438	-0.453	2.215	0.022	1.442	0.277	0.387	0.379	1.071	-0.049	0.816	0.284	-0.115	-0.278	0.658	-0.096	0.958	0.031	0.003	-0.698	0.189	-0.467	-0.412	0.151	0.857	0.335	-0.311	0.388	-0.052	-0.207	1.143	0.058	-0.89	-0.781	0.117	0.322
347	APOD	-1.499	-1.41	-1.198	-1.139	-0.366	-0.604	1.766	-1.719	1.368	1.335	-1.122	-1.387	-0.387	-1.087	1.632	0.312	0.159	1.276	-0.398	-1.529	-0.589	-1.471	0.446	-1.562	1.008	2.07	-1.793	-0.134	-2.009	-1.859	-1.252	1.526	-1.408	-1.981	-1.41	1.205	-0.513	-1.859	0.063	-1.961	-0.947	0.341	-0.868	1.135	-1.371	1.679	0.709	-0.24	-1.547	-0.316	-1.731	0.587	-0.925	2.243	-1.226	-0.86	-1.337	0.384	-1.9	2.139	-0.584	-0.422	1.063	0.405	-1.038	1.214	0.691	0.41	-0.87	-1.613	-0.592	-1.092	0.172	1.009	2.261	-0.218	0.104	0.563	-1.396	2.225	-1.007	0.042	-1.363	0.155	-1.354	1.153	0.92	1.935	-2.175	0.768	-1.019	2.09	-0.006	-0.54	2.006	0.416	1.098	-0.004	-1.461	-0.27	-1.169	-0.963	1.794	-0.632	0.135	0.426	-0.637	0.431	-0.002	2.693	-0.363	2.089	1.529	2.882	1.443	0.281	1.546	0.477	1.176	1.345	-0.465	0.035	0.79	1.941	0.413	1.265
1280	COL2A1	0.424	-0.441	-0.502	-0.451	-1.041	-1.151	-0.107	-0.172	-0.774	-1.353	0.673	-0.796	-0.353	0.071	-1.217	-1.079	-1.058	-0.462	-0.529	-0.533	-0.532	-0.495	-0.161	-0.871	2.954	0.026	-0.442	-0.518	-0.795	-0.423	-0.705	-0.924	-0.661	-0.472	0.039	-0.378	3.069	2.425	-0.605	0.189	-1.068	0.347	-0.827	-0.44	-0.434	-1.175	-0.849	2.991	-0.833	2.717	-0.532	0.864	-0.674	-0.979	-0.242	-0.693	-0.152	-0.881	1.434	0.08	-0.121	2.364	0.18	0.515	3.039	0.907	2.418	3.551	4.477	0.486	-0.035	0.001	1.465	3.89	1.198	2.133	2.897	3.815	3.972	1.856	0.116	3.356	1.14	-0.148	1.673	2.066	3.214	2.948	0.902	0.744	1.226	3.687	1.144	3.042	0.849	0.091	2.136	4.125	1.323	0.03	2.801	3.577	0.223	3.246	0.453	-0.134	1.303	0.298	3.016	-0.838	-0.189	0.52	1.787	0.034	0.738	0.992	2.993	-0.193	-0.208	-0.551	0.772	1.323	-0.369	-0.826	-0.022	0.05
