GeneSymbol	EntrezID	Coefficient
ATP4A	495	-2.03
COLQ	8292	-0.42
MDM2	4193	0.42
PER1	5187	-0.3
KPNA2	3838	0.34
CCNB1	891	0.39
MSMO1	6307	0.29
BTG3	10950	0.12
TUBB2A	7280	0.64
CD44	960	-0.04
NEK2	4751	0.91
PLCL1	5334	-0.01
CLGN	1047	-0.43
ID2	3398	0.07
SART3	9733	-0.63
GGA2	23062	-0.01
DDIT3	1649	0.97
TXNIP	10628	-0.33
LINS	55180	-1.85
ZNF787	126208	0.38
PLEK2	26499	-0.06
PLA2G4A	5321	0.6
SARS2	54938	-0.4
MMD	23531	0.58
BBS9	27241	-0.34
FGFR1OP	11116	-0.33
ANO3	63982	-0.33
NUDT15	55270	0.47
COX7B	1349	1.2
H2AFJ	55766	5.5
PYGB	5834	-1.12
USP7	7874	-0.58
PHEX	5251	0.39
FAM114A2	10827	-0.43
