entrez_id	centroid
1	0
10	0
100	-0.004
1000	0.009
10000	0.004
10001	0.001
10002	0
10003	0.002
100033414	0.001
100033416	0.002
10004	0.012
10005	-0.011
10006	-0.003
10007	-0.001
10008	-0.001
10009	-0.006
1001	0.006
10010	0.001
10011	0.005
10013	-0.001
10014	0
10015	-0.007
10016	0
10017	-0.004
10018	0.012
10019	0.008
1002	0.015
10020	-0.011
10021	0
10022	0
10023	-0.006
10024	-0.01
10025	-0.006
10026	-0.006
1003	0.015
10036	-0.008
10038	-0.007
10039	-0.008
1004	0.001
10040	-0.015
10042	0.001
10043	-0.012
10044	0.004
10045	0.011
10046	0.013
10047	0.001
10048	0.001
10049	0.002
1005	-0.001
10050	-0.001
10051	-0.002
10052	0.005
10053	-0.008
10054	0.002
10055	0
10056	0.001
10057	0
10058	0.001
10059	0.007
1006	0.004
10060	-0.002
10061	0.007
10062	-0.016
10063	-0.001
10066	-0.001
10067	0.003
10068	0
10069	-0.001
1007	-0.001
10071	0.001
10072	-0.004
10073	-0.003
10075	-0.006
10076	0.002
10077	0
10078	0.004
10079	-0.007
1008	0
10081	0.001
10082	0.003
10083	0
10084	-0.001
10085	0.002
10086	-0.001
10087	0.008
10089	0.003
1009	0.02
10090	0.008
10092	0.004
10093	-0.003
10094	-0.007
10095	-0.005
10096	0.001
10097	-0.008
10098	0.018
10099	-0.002
101	-0.012
1010	0.003
10100	-0.001
10101	-0.001
10102	-0.014
10103	-0.002
10105	0.007
10106	-0.01
10107	0
10109	0.004
1011	0.001
10110	0.001
10111	-0.003
10112	-0.012
10113	-0.003
10114	0.005
10116	0.005
10117	0.001
1012	0.021
10120	-0.012
10121	-0.001
10123	0.001
10124	0.016
10125	-0.023
10126	-0.005
10127	0.007
10128	-0.002
10129	0
1013	0.007
10130	-0.004
10131	-0.006
10133	-0.014
10134	-0.001
10135	-0.005
10136	0.002
10137	0.001
10138	0.005
10139	0.002
1014	-0.001
10140	-0.006
10141	-0.001
10142	0.002
10143	0
10144	-0.003
10146	0.003
10147	-0.003
10148	-0.033
10149	-0.014
1015	0.002
10150	0.007
10151	0
10152	0.001
10153	0.006
10154	-0.002
10155	0.002
10156	0
10157	-0.001
10158	-0.045
10159	-0.003
1016	0
10160	-0.007
10161	0.008
10162	0.007
10163	-0.003
10164	-0.005
10165	-0.001
10166	-0.008
10168	-0.001
10169	-0.005
1017	0.003
10170	-0.006
10171	0.009
10172	0.012
10174	-0.002
10175	0.001
10178	-0.001
10179	0.004
1018	0
10180	0.004
10181	-0.003
10184	-0.001
10186	0.022
10188	0.005
10189	0.007
1019	0.005
10190	-0.002
10193	-0.001
10194	0.002
10195	-0.001
10196	-0.006
10197	0.003
10198	0.001
10199	0.002
102	-0.008
1020	-0.008
10200	-0.001
10201	-0.006
10202	0
10203	0.022
10204	0
10205	0
10206	0
10207	-0.001
10208	0.002
10209	0.003
1021	0
10210	0.002
10211	-0.004
10212	0.006
10213	0.006
10214	0
10215	-0.002
10216	0.006
10217	0.002
10218	0.001
10219	-0.001
1022	-0.003
10220	0.003
10221	0.006
10223	0
10224	0.001
10225	0.002
