Gene	Coefficient	EnsemblID	EntrezID
MMP1	6.019470553	ENSG00000196611	4312
CCND2	5.936469972	ENSG00000118971	894
SERPINB2	5.885052323	ENSG00000197632	5055
FST	5.549550235	ENSG00000134363	10468
DKK3	5.224193513	ENSG00000050165	27122
IL1B	4.396990657	ENSG00000125538	3553
KRT6C	4.11433061	ENSG00000170465	286887
KRT14	4.102241635	ENSG00000186847	3861
GJA1	3.88756911	ENSG00000152661	2697
PLCH2	3.800288876	ENSG00000149527	9651
IFITM3	3.57371513	ENSG00000142089	10410
RAB38	3.553869049	ENSG00000123892	23682
IL13RA2	3.538832943	ENSG00000123496	3598
HAS3	3.462510069	ENSG00000103044	3038
MMP10	3.432278474	ENSG00000166670	4319
DPYSL3	3.413787444	ENSG00000113657	1809
DLL1	3.411821286	ENSG00000198719	28514
FBN2	3.405744632	ENSG00000138829	2201
BCAT1	3.360753496	ENSG00000060982	586
PKP1	3.338708003	ENSG00000081277	5317
MTAP	3.282329122	ENSG00000099810	4507
CCN6	3.216912866	ENSG00000112761	8838
ARHGEF35	3.170898835	ENSG00000213214	445328
SOX7	3.148716927	ENSG00000171056	83595
PRSS3	3.109461387	ENSG00000010438	5646
ARTN	3.103531679	ENSG00000117407	9048
NXN	3.099610925	ENSG00000167693	64359
FOXA2	3.096641898	ENSG00000125798	3170
SLC2A6	3.07711935	ENSG00000160326	11182
FEZ1	3.028301656	ENSG00000149557	9638
NIBAN1	3.025145332	ENSG00000135842	116496
LOC651397	3.024830778	NA	NA
ERAP2	3.016764959	ENSG00000164308	64167
SLC35E3	3.008624276	ENSG00000175782	55508
ADAM19	3.008512497	ENSG00000135074	8728
HMGA2	2.968392134	ENSG00000149948	8091
RTTN	2.949358026	ENSG00000176225	25914
IGFBP7	2.94378976	ENSG00000163453	3490
MAOA	2.927288135	ENSG00000189221	4128
LPAR1	2.874384602	ENSG00000198121	1902
NTM	2.868449132	ENSG00000182667	50863
CNTNAP2	2.806813002	ENSG00000174469	26047
F2RL1	2.800321003	ENSG00000164251	2150
FGFBP1	2.76723512	ENSG00000137440	9982
IL24	2.752607822	ENSG00000162892	11009
CSF3	2.722458144	ENSG00000108342	1440
LOC375295	2.72015814	NA	NA
TUBB6	2.683939437	ENSG00000176014	84617
WNT7A	2.659935514	ENSG00000154764	7476
SPARC	2.648365537	ENSG00000113140	6678
FERMT1	2.579562704	ENSG00000101311	55612
RGS2	2.57330958	ENSG00000116741	5997
SLFN11	2.562791427	ENSG00000172716	91607
PRSS23	2.555394252	ENSG00000150687	11098
SLC35G2	2.527069887	ENSG00000168917	80723
XRN2	2.526410023	ENSG00000088930	22803
MAMDC2	2.50351127	ENSG00000165072	256691
CYGB	2.499610901	ENSG00000161544	114757
ZBED2	2.479937911	ENSG00000177494	79413
SNCA	2.438846985	ENSG00000145335	6622
THBS1	2.433293978	ENSG00000137801	7057
SPHK1	2.433188876	ENSG00000176170	8877
IL1R2	2.432319204	ENSG00000115590	7850
FKBP11	2.425743659	ENSG00000134285	51303
NRG1	2.395270189	ENSG00000157168	3084
KRT6A	2.39519918	ENSG00000205420	3853
NIBAN1	2.395100713	ENSG00000135842	116496
SNAI2	2.377021352	ENSG00000019549	6591
HCAR1	2.358271996	ENSG00000196917	27198
SRPX	2.352299372	ENSG00000101955	8406
CDKN2A	2.33395794	ENSG00000147889	1029
TFPI2	2.303964972	ENSG00000105825	7980
LOC643272	2.266256491	NA	NA
TAGLN3	2.244207203	ENSG00000144834	29114
GADD45A	2.232863426	ENSG00000116717	1647
PLAU	2.23159802	ENSG00000122861	5328
GSTT1	2.19964548	ENSG00000277656	2952
TNFRSF19	2.178831855	ENSG00000127863	55504
NIPAL4	2.178550601	ENSG00000172548	348938
ISG15	2.174197356	ENSG00000187608	9636
LIMA1	2.174186349	ENSG00000050405	51474
